"","YEAR","site_web_trans","site","web","transect","yrID","siteID"
"193",1995,"BOER_3_108","BOER","3","108",4,13
"194",1995,"BOER_3_12","BOER","3","12",4,14
"195",1995,"BOER_3_132","BOER","3","132",4,15
"196",1995,"BOER_3_36","BOER","3","36",4,16
"197",1995,"BOER_3_60","BOER","3","60",4,17
"198",1995,"BOER_3_84","BOER","3","84",4,18
"199",1995,"BOER_4_108","BOER","4","108",4,19
"200",1995,"BOER_4_12","BOER","4","12",4,20
"201",1995,"BOER_4_132","BOER","4","132",4,21
"202",1995,"BOER_4_36","BOER","4","36",4,22
"203",1995,"BOER_4_60","BOER","4","60",4,23
"204",1995,"BOER_4_84","BOER","4","84",4,24
"205",1995,"BOER_5_108","BOER","5","108",4,25
"206",1995,"BOER_5_12","BOER","5","12",4,26
"207",1995,"BOER_5_132","BOER","5","132",4,27
"208",1995,"BOER_5_36","BOER","5","36",4,28
"209",1995,"BOER_5_60","BOER","5","60",4,29
"210",1995,"BOER_5_84","BOER","5","84",4,30
"211",1995,"LATR_1_108","LATR","1","108",4,31
"212",1995,"LATR_1_12","LATR","1","12",4,32
"213",1995,"LATR_1_132","LATR","1","132",4,33
"214",1995,"LATR_1_36","LATR","1","36",4,34
"215",1995,"LATR_1_60","LATR","1","60",4,35
"216",1995,"LATR_1_84","LATR","1","84",4,36
"217",1995,"LATR_2_108","LATR","2","108",4,37
"218",1995,"LATR_2_12","LATR","2","12",4,38
"219",1995,"LATR_2_132","LATR","2","132",4,39
"220",1995,"LATR_2_36","LATR","2","36",4,40
"221",1995,"LATR_2_60","LATR","2","60",4,41
"222",1995,"LATR_2_84","LATR","2","84",4,42
"223",1995,"LATR_3_108","LATR","3","108",4,43
"224",1995,"LATR_3_12","LATR","3","12",4,44
"225",1995,"LATR_3_132","LATR","3","132",4,45
"226",1995,"LATR_3_36","LATR","3","36",4,46
"227",1995,"LATR_3_60","LATR","3","60",4,47
"228",1995,"LATR_3_84","LATR","3","84",4,48
"229",1995,"LATR_4_108","LATR","4","108",4,49
"230",1995,"LATR_4_12","LATR","4","12",4,50
"231",1995,"LATR_4_132","LATR","4","132",4,51
"232",1995,"LATR_4_36","LATR","4","36",4,52
"233",1995,"LATR_4_60","LATR","4","60",4,53
"234",1995,"LATR_4_84","LATR","4","84",4,54
"235",1995,"LATR_5_108","LATR","5","108",4,55
"236",1995,"LATR_5_12","LATR","5","12",4,56
"237",1995,"LATR_5_132","LATR","5","132",4,57
"238",1995,"LATR_5_36","LATR","5","36",4,58
"239",1995,"LATR_5_60","LATR","5","60",4,59
"240",1995,"LATR_5_84","LATR","5","84",4,60
"241",1996,"BOER_1_108","BOER","1","108",5,1
"242",1996,"BOER_1_12","BOER","1","12",5,2
"243",1996,"BOER_1_132","BOER","1","132",5,3
"244",1996,"BOER_1_36","BOER","1","36",5,4
"245",1996,"BOER_1_60","BOER","1","60",5,5
"246",1996,"BOER_1_84","BOER","1","84",5,6
"247",1996,"BOER_2_108","BOER","2","108",5,7
"248",1996,"BOER_2_12","BOER","2","12",5,8
"249",1996,"BOER_2_132","BOER","2","132",5,9
"250",1996,"BOER_2_36","BOER","2","36",5,10
"251",1996,"BOER_2_60","BOER","2","60",5,11
"252",1996,"BOER_2_84","BOER","2","84",5,12
"253",1996,"BOER_3_108","BOER","3","108",5,13
